dataset,component_disabled,seed,precision,recall,f1
Cotton Candy Production,full,42,0.9556692242114238,0.9467905405405406,0.9512091641917693
Cotton Candy Production,full,123,0.9131578947368421,0.879222972972973,0.8958691910499139
Cotton Candy Production,full,2025,0.9807860262008734,0.9484797297297297,0.9643623872906828
Cotton Candy Production,no_warmup_repair,42,0.9367396593673966,0.6503378378378378,0.7676969092721835
Cotton Candy Production,no_warmup_repair,123,0.8733681462140992,0.5650337837837838,0.6861538461538461
Cotton Candy Production,no_warmup_repair,2025,0.9723684210526315,0.6241554054054054,0.7602880658436213
Cotton Candy Production,no_iot_sensor,42,0.9516129032258065,0.9467905405405406,0.9491955969517358
Cotton Candy Production,no_iot_sensor,123,0.961369622475856,0.924831081081081,0.9427464485578992
Cotton Candy Production,no_iot_sensor,2025,0.9798245614035088,0.9434121621621622,0.9612736660929432
Cotton Candy Production,no_abstention,42,0.9467905405405406,0.9467905405405406,0.9467905405405406
Cotton Candy Production,no_abstention,123,0.8606418918918919,0.8606418918918919,0.8606418918918919
Cotton Candy Production,no_abstention,2025,0.9476351351351351,0.9476351351351351,0.9476351351351351
Chess Piece Production,full,42,0.9846153846153847,0.7910112359550562,0.8772585669781932
Chess Piece Production,full,123,0.9915848527349228,0.7943820224719101,0.8820960698689956
Chess Piece Production,full,2025,0.9843081312410842,0.7752808988764045,0.8673790069138908
Chess Piece Production,no_warmup_repair,42,0.9810246679316889,0.5808988764044943,0.7297106563161608
Chess Piece Production,no_warmup_repair,123,0.9858870967741935,0.549438202247191,0.7056277056277057
Chess Piece Production,no_warmup_repair,2025,0.9837067209775967,0.5426966292134832,0.6994931209268646
Chess Piece Production,no_iot_sensor,42,0.9784791965566715,0.7662921348314606,0.8594833018273472
Chess Piece Production,no_iot_sensor,123,0.9858156028368794,0.7808988764044944,0.8714733542319749
Chess Piece Production,no_iot_sensor,2025,0.9870503597122302,0.7707865168539326,0.865615141955836
Chess Piece Production,no_abstention,42,0.8314606741573034,0.8314606741573034,0.8314606741573034
Chess Piece Production,no_abstention,123,0.8617977528089887,0.8617977528089887,0.8617977528089887
Chess Piece Production,no_abstention,2025,0.8292134831460675,0.8292134831460675,0.8292134831460675
CybersecIoT,full,42,0.7755122950819672,0.7590252707581228,0.7671802148793837
CybersecIoT,full,123,0.8180020811654527,0.788307260328921,0.8028801960984578
CybersecIoT,full,2025,0.8221733207586712,0.7868030485359006,0.8040994107097105
CybersecIoT,no_warmup_repair,42,0.773604590505999,0.7435820296831127,0.7582962622079049
CybersecIoT,no_warmup_repair,123,0.8173404255319149,0.7704572803850782,0.7932066900681396
CybersecIoT,no_warmup_repair,2025,0.8206172310330048,0.7679502607300441,0.7934106920845421
CybersecIoT,no_iot_sensor,42,0.7239327836342762,0.6955475330926595,0.7094563494092978
CybersecIoT,no_iot_sensor,123,0.7827527249412267,0.73455675892499,0.7578892912571134
CybersecIoT,no_iot_sensor,2025,0.7747401247401248,0.7473926995587645,0.7608207431604738
CybersecIoT,no_abstention,42,0.7683513838748496,0.7683513838748496,0.7683513838748496
CybersecIoT,no_abstention,123,0.8017448856799038,0.8017448856799038,0.8017448856799039
CybersecIoT,no_abstention,2025,0.8055555555555556,0.8055555555555556,0.8055555555555556
MIMIC-IV,full,42,0.8982595070720759,0.866890083168155,0.8822960536577756
MIMIC-IV,full,123,0.6646726282248946,0.6607066228007438,0.6626836916644463
MIMIC-IV,full,2025,0.902283688527969,0.8945583096634449,0.8984043917705608
MIMIC-IV,no_warmup_repair,42,0.8977800612249267,0.8569793816539633,0.8769053842132777
MIMIC-IV,no_warmup_repair,123,0.6613496932515337,0.6498355027893006,0.6555420420110902
MIMIC-IV,no_warmup_repair,2025,0.9019501625135428,0.8846067392770296,0.893194268205874
MIMIC-IV,no_iot_sensor,42,0.9263308576407618,0.9124180068251017,0.9193217966007473
MIMIC-IV,no_iot_sensor,123,0.9349371127825781,0.9220221917976174,0.9284347414555855
MIMIC-IV,no_iot_sensor,2025,0.9360621205237288,0.9262112512005232,0.9311106317854538
MIMIC-IV,no_abstention,42,0.8800089911518891,0.8800089911518891,0.8800089911518891
MIMIC-IV,no_abstention,123,0.6623413776896826,0.6623413776896826,0.6623413776896826
MIMIC-IV,no_abstention,2025,0.8995238776385965,0.8995238776385965,0.8995238776385965
SmartFactory,full,42,0.702954898911353,0.6188954815152898,0.658252427184466
SmartFactory,full,123,0.6219262295081968,0.5540848927430397,0.5860487569394159
SmartFactory,full,2025,0.7126116071428571,0.5828388863532633,0.6412252071303037
ViennaLine71,full,42,0.8016270852165338,0.7441736277987565,0.7718326575017308
ViennaLine71,full,123,0.7960814642949213,0.7067170156768509,0.7487421955507061
ViennaLine71,full,2025,0.8570092265827629,0.7688141282374032,0.8105195431880329
BPIC2013 closed,full,42,0.978978978978979,0.978978978978979,0.978978978978979
BPIC2013 closed,full,123,0.98796992481203,0.9864864864864865,0.9872276483846731
BPIC2013 closed,full,2025,0.987987987987988,0.987987987987988,0.987987987987988
BPIC2013 open,full,42,0.9957446808510638,0.9957446808510638,0.9957446808510638
BPIC2013 open,full,123,0.9871794871794872,0.9829787234042553,0.9850746268656716
BPIC2013 open,full,2025,0.9699570815450643,0.9617021276595744,0.9658119658119658
BPIC2013 incidents,full,42,0.992514512679499,0.9914542957424081,0.9919841209252614
BPIC2013 incidents,full,123,0.9928178484107579,0.9914542957424081,0.9921356035733374
BPIC2013 incidents,full,2025,0.992500765228038,0.9896230734014955,0.9910598303660121
BPIC2012,full,42,0.6719515551885494,0.4655225019069413,0.5500056325335136
BPIC2012,full,123,0.6503549558337398,0.45770404271548437,0.5372820271752513
BPIC2012,full,2025,0.6736397017914766,0.4617848970251716,0.5479476852061366
BPIC2017,full,42,0.8447682798503833,0.794620132084574,0.8189272014229688
BPIC2017,full,123,0.8746813562873206,0.8333721491191589,0.8535272219240632
BPIC2017,full,2025,0.8516069708380769,0.8088516627019114,0.8296788615111598
BPIC2020 Domestic,full,42,0.8922872340425532,0.594541910331384,0.7136020419015208
BPIC2020 Domestic,full,123,0.8473648186173853,0.6581605528973951,0.7408737283064034
BPIC2020 Domestic,full,2025,0.8801343322138983,0.6037568669147616,0.7162076939247425
BPIC2020 International,full,42,0.8460581944789853,0.47151767151767154,0.605553577785689
BPIC2020 International,full,123,0.8561890087313816,0.4620928620928621,0.6002340444684491
BPIC2020 International,full,2025,0.8486858265782363,0.47886347886347885,0.6122629806840334
BPIC2020 Prepaid,full,42,0.888,0.6085526315789473,0.7221860767729343
BPIC2020 Prepaid,full,123,0.8905349794238683,0.5932017543859649,0.7120763409016123
BPIC2020 Prepaid,full,2025,0.8886118038237739,0.5860745614035088,0.7063098777667657
BPIC2020 Request,full,42,0.9063686208350907,0.5841261212285948,0.7104132231404959
BPIC2020 Request,full,123,0.8873581847649918,0.5952704539276977,0.7125427037579307
BPIC2020 Request,full,2025,0.8730290456431535,0.5718945365588475,0.6910822795204468
Sepsis,full,42,0.689625850340136,0.5332018408941486,0.6014089729328883
Sepsis,full,123,0.6405563689604685,0.5752794214332676,0.6061655697956356
Sepsis,full,2025,0.6895927601809955,0.5009861932938856,0.5803503427265804
