dataset,axis,value,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Cotton Candy Production,alpha,0.05,42,0.9532312925170068,0.9467905405405406,0.95,1121,55,63,8,45.2
Cotton Candy Production,alpha,0.1,42,0.9540425531914893,0.9467905405405406,0.9504027130139889,1121,54,63,9,41.7
Cotton Candy Production,alpha,0.2,42,0.954855195911414,0.9467905405405406,0.9508057675996608,1121,53,63,10,41.6
Cotton Candy Production,alpha,0.3,42,0.954855195911414,0.9467905405405406,0.9508057675996608,1121,53,63,10,42.9
Cotton Candy Production,alpha,0.5,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,46.0
Cotton Candy Production,alpha,0.7,42,0.9556313993174061,0.9459459459459459,0.9507640067911713,1120,52,64,12,44.3
Chess Piece Production,alpha,0.05,42,0.9184177997527813,0.8348314606741573,0.8746321365509123,743,66,147,81,55.0
Chess Piece Production,alpha,0.1,42,0.9405815423514539,0.8359550561797753,0.8851873884592504,744,47,146,99,60.0
Chess Piece Production,alpha,0.2,42,0.9572538860103627,0.8303370786516854,0.8892900120336944,739,33,151,118,61.0
Chess Piece Production,alpha,0.3,42,0.9680851063829787,0.8179775280898877,0.8867235079171741,728,24,162,138,58.5
Chess Piece Production,alpha,0.5,42,0.9846153846153847,0.7910112359550562,0.8772585669781932,704,11,186,175,56.9
Chess Piece Production,alpha,0.7,42,0.9878419452887538,0.7303370786516854,0.8397932816537469,650,8,240,232,56.4
CybersecIoT,alpha,0.05,42,0.7755122950819672,0.7590252707581228,0.7671802148793837,7569,2191,2403,212,671.3
CybersecIoT,alpha,0.1,42,0.7707968476357268,0.706177296430004,0.7370734770776638,7042,2094,2930,836,682.1
CybersecIoT,alpha,0.2,42,0.7459532929692326,0.6053951062976334,0.6683642402435649,6037,2056,3935,1879,703.1
CybersecIoT,alpha,0.3,42,0.7125553914327917,0.48375451263537905,0.5762752359335802,4824,1946,5148,3202,688.8
CybersecIoT,alpha,0.5,42,0.735687263556116,0.2925190533493783,0.41859797660902637,2917,1048,7055,6007,699.6
CybersecIoT,alpha,0.7,42,0.7958422174840085,0.14971921379863617,0.2520256583389602,1493,383,8479,8096,708.1
MIMIC-IV,alpha,0.05,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3478.2
MIMIC-IV,alpha,0.1,42,0.9024946759963492,0.8486625661564869,0.8747511979358644,41531,4487,7406,2919,5078.8
MIMIC-IV,alpha,0.2,42,0.8982420091324201,0.8039520199440097,0.8484855020110637,39343,4457,9594,5137,3424.3
MIMIC-IV,alpha,0.3,42,0.8916474164133739,0.7493103377812289,0.8143057005174213,36669,4456,12268,7812,3519.1
MIMIC-IV,alpha,0.5,42,0.8886564854875219,0.6337740360054764,0.7398792910136216,31015,3886,17922,14036,3446.5
MIMIC-IV,alpha,0.7,42,0.8845179149284572,0.4635960520669432,0.6083447295739147,22687,2962,26250,23288,3702.3
SmartFactory,alpha,0.05,42,0.6660456450861667,0.6526700136923779,0.6592899953895804,1430,717,761,44,300.8
SmartFactory,alpha,0.1,42,0.6795740561471443,0.6408032861706983,0.6596194503171247,1404,662,787,125,298.5
SmartFactory,alpha,0.2,42,0.7111111111111111,0.5842081241442264,0.6414432473064395,1280,520,911,391,303.2
SmartFactory,alpha,0.3,42,0.7682685977616853,0.5326335006846189,0.6291105121293801,1167,352,1024,672,313.4
SmartFactory,alpha,0.5,42,0.8341232227488151,0.40164308534915566,0.5422057917436844,880,175,1311,1136,283.7
SmartFactory,alpha,0.7,42,0.8809523809523809,0.3039707895937928,0.4519850695622667,666,90,1525,1435,290.1
