dataset,axis,value,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Cotton Candy Production,latent_dim,16,42,0.9788732394366197,0.9391891891891891,0.9586206896551723,1112,24,72,48,43.6
Cotton Candy Production,latent_dim,32,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,42.9
Cotton Candy Production,latent_dim,64,42,0.9799651567944251,0.950168918918919,0.9648370497427101,1125,23,59,36,43.8
Cotton Candy Production,latent_dim,128,42,0.996415770609319,0.9391891891891891,0.9669565217391304,1112,4,72,68,336.7
Chess Piece Production,latent_dim,16,42,0.9683453237410072,0.7561797752808989,0.8492113564668771,673,22,217,195,55.3
Chess Piece Production,latent_dim,32,42,0.9846153846153847,0.7910112359550562,0.8772585669781932,704,11,186,175,57.5
Chess Piece Production,latent_dim,64,42,0.9886201991465149,0.7808988764044944,0.8725674827369743,695,8,195,187,60.7
Chess Piece Production,latent_dim,128,42,0.9915966386554622,0.7955056179775281,0.882793017456359,708,6,182,176,597.3
CybersecIoT,latent_dim,16,42,0.6477618671778104,0.5761131167268352,0.6098402420253702,5745,3124,4227,1103,654.7
CybersecIoT,latent_dim,32,42,0.766091892470815,0.7173084636983554,0.7408980268268682,7153,2184,2819,635,679.9
CybersecIoT,latent_dim,64,42,0.7884615384615384,0.7729643000401123,0.7806360137735467,7708,2068,2264,196,690.9
CybersecIoT,latent_dim,128,42,0.7993672823757526,0.7854993983152828,0.7923726670375804,7833,1966,2139,173,2755.7
MIMIC-IV,latent_dim,16,42,0.5541914326706292,0.5525267180252161,0.5533578233241581,27039,21751,21898,147,3074.7
MIMIC-IV,latent_dim,32,42,0.8629835843280669,0.8583280544373378,0.8606495236143838,42004,6669,6933,264,3134.7
MIMIC-IV,latent_dim,64,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3276.4
MIMIC-IV,latent_dim,128,42,0.8894733559265651,0.8742056112961563,0.8817733990147782,42781,5316,6156,840,13884.7
SmartFactory,latent_dim,16,42,0.8519083969465648,0.2546782291191237,0.3921293042867182,558,97,1633,1536,271.4
SmartFactory,latent_dim,32,42,0.8341232227488151,0.40164308534915566,0.5422057917436844,880,175,1311,1136,272.2
SmartFactory,latent_dim,64,42,0.7220756376429199,0.3747147421268827,0.4933894230769231,821,316,1370,1054,293.6
SmartFactory,latent_dim,128,42,0.9220672682526662,0.5130077590141487,0.6592375366568914,1124,95,1067,972,1633.8
