dataset,axis,value,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Cotton Candy Production,n_reliable,20,42,0.9564474807856533,0.9459459459459459,0.9511677282377918,1120,51,64,13,41.7
Cotton Candy Production,n_reliable,30,42,0.9556313993174061,0.9459459459459459,0.9507640067911713,1120,52,64,12,42.1
Cotton Candy Production,n_reliable,40,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,42.1
Cotton Candy Production,n_reliable,60,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,41.7
Cotton Candy Production,n_reliable,80,42,0.954855195911414,0.9467905405405406,0.9508057675996608,1121,53,63,10,41.2
Chess Piece Production,n_reliable,20,42,0.9764216366158114,0.7910112359550562,0.8739913097454998,704,17,186,169,56.1
Chess Piece Production,n_reliable,30,42,0.9764216366158114,0.7910112359550562,0.8739913097454998,704,17,186,169,54.9
Chess Piece Production,n_reliable,40,42,0.9818688981868898,0.7910112359550562,0.8761667703795892,704,13,186,173,56.3
Chess Piece Production,n_reliable,60,42,0.9873772791023843,0.7910112359550562,0.8783530879600748,704,9,186,177,56.0
Chess Piece Production,n_reliable,80,42,0.9845505617977528,0.7876404494382022,0.8751560549313357,701,11,189,178,55.4
CybersecIoT,n_reliable,20,42,0.7753534111862324,0.7590252707581228,0.7671024627546368,7569,2193,2403,210,651.5
CybersecIoT,n_reliable,30,42,0.7754328449953898,0.7590252707581228,0.7671413368469062,7569,2192,2403,211,659.9
CybersecIoT,n_reliable,40,42,0.7755122950819672,0.7590252707581228,0.7671802148793837,7569,2191,2403,212,660.2
CybersecIoT,n_reliable,60,42,0.7758532335758942,0.7591255515443242,0.7673982462365045,7570,2187,2402,215,652.7
CybersecIoT,n_reliable,80,42,0.7761148129164531,0.7592258323305254,0.7675774319460638,7571,2184,2401,217,657.9
MIMIC-IV,n_reliable,20,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3238.7
MIMIC-IV,n_reliable,30,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3271.1
MIMIC-IV,n_reliable,40,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3273.9
MIMIC-IV,n_reliable,60,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3268.2
MIMIC-IV,n_reliable,80,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3265.0
SmartFactory,n_reliable,20,42,0.7736339982653946,0.40712003651300777,0.5334928229665072,892,261,1299,1038,272.5
SmartFactory,n_reliable,30,42,0.8180147058823529,0.4062072113190324,0.5428484293992071,890,198,1301,1103,273.0
SmartFactory,n_reliable,40,42,0.8341232227488151,0.40164308534915566,0.5422057917436844,880,175,1311,1136,272.6
SmartFactory,n_reliable,60,42,0.8490749756572541,0.39799178457325424,0.5419515226848974,872,155,1319,1164,273.4
SmartFactory,n_reliable,80,42,0.8574338085539714,0.38429940666362394,0.5307280176489128,842,140,1349,1209,274.4
