dataset,axis,value,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Cotton Candy Production,warmup_events,500,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,41.7
Cotton Candy Production,warmup_events,1000,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,48.2
Cotton Candy Production,warmup_events,2000,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,50.7
Cotton Candy Production,warmup_events,4000,42,0.9755671902268761,0.9442567567567568,0.959656652360515,1118,28,66,38,43.5
Cotton Candy Production,warmup_events,6000,42,0.9775862068965517,0.9577702702702703,0.9675767918088737,1134,26,50,24,39.6
Chess Piece Production,warmup_events,500,42,0.7740585774058577,0.4157303370786517,0.5409356725146198,370,108,520,412,75.9
Chess Piece Production,warmup_events,1000,42,0.7740585774058577,0.4157303370786517,0.5409356725146198,370,108,520,412,75.7
Chess Piece Production,warmup_events,2000,42,0.9654696132596685,0.7853932584269663,0.8661710037174721,699,25,191,166,42.3
Chess Piece Production,warmup_events,4000,42,0.9786931818181818,0.7741573033707865,0.8644918444165621,689,15,201,186,64.9
Chess Piece Production,warmup_events,6000,42,0.9916897506925207,0.8044943820224719,0.8883374689826303,716,6,174,168,81.9
CybersecIoT,warmup_events,500,42,0.5910864653933046,0.5772162053750501,0.5840690005073567,5756,3982,4216,234,498.6
CybersecIoT,warmup_events,1000,42,0.7578382838283828,0.7368632170076214,0.7472035794183445,7348,2348,2624,276,665.7
CybersecIoT,warmup_events,2000,42,0.7755122950819672,0.7590252707581228,0.7671802148793837,7569,2191,2403,212,673.3
CybersecIoT,warmup_events,4000,42,0.8016938649039455,0.7783794624949859,0.7898646585936705,7762,1920,2210,290,780.7
CybersecIoT,warmup_events,6000,42,0.7664345689125538,0.7506016847172082,0.7584355051170332,7485,2281,2487,206,791.3
MIMIC-IV,warmup_events,500,42,0.5281088867085568,0.5169503647546846,0.5224700536968194,25298,22605,23639,1034,2858.5
MIMIC-IV,warmup_events,1000,42,0.5219846022241231,0.49876371661524,0.5101100347973291,24408,22352,24529,2177,2400.6
MIMIC-IV,warmup_events,2000,42,0.751798186177421,0.736865766189182,0.7442570844771006,36060,11905,12877,972,3014.8
MIMIC-IV,warmup_events,4000,42,0.86461193966792,0.8363610356172222,0.850251882627889,40929,6409,8008,1599,3170.7
MIMIC-IV,warmup_events,6000,42,0.9066430615311774,0.8999734352330547,0.9032959369936625,44042,4535,4895,360,2941.3
SmartFactory,warmup_events,500,42,0.16541353383458646,0.020082154267457783,0.03581603581603581,44,222,2147,1925,1474.3
SmartFactory,warmup_events,1000,42,0.35106382978723405,0.030123231401186674,0.05548549810844893,66,122,2125,2003,3524.4
SmartFactory,warmup_events,2000,42,0.6879795396419437,0.12277498858968508,0.20836560805577073,269,122,1922,1800,411.2
SmartFactory,warmup_events,4000,42,0.8206412825651302,0.3738019169329074,0.5136406396989652,819,179,1372,1193,260.0
SmartFactory,warmup_events,6000,42,0.8980944490472246,0.49475125513464174,0.6380223660977046,1084,123,1107,984,268.7
