dataset,axis,value,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Cotton Candy Production,window_size,5,42,0.9763779527559056,0.9425675675675675,0.9591749033089815,1116,27,68,41,37.5
Cotton Candy Production,window_size,10,42,0.9556692242114238,0.9467905405405406,0.9512091641917693,1121,52,63,11,42.1
Cotton Candy Production,window_size,15,42,0.9704090513489991,0.941722972972973,0.9558508358336906,1115,34,69,35,45.3
Cotton Candy Production,window_size,20,42,0.9553264604810997,0.9391891891891891,0.9471890971039183,1112,52,72,20,48.7
Cotton Candy Production,window_size,30,42,0.9452991452991453,0.9341216216216216,0.9396771452846218,1106,64,78,14,56.2
Chess Piece Production,window_size,5,42,0.9850968703427719,0.7426966292134831,0.8468930172966046,661,10,229,219,53.8
Chess Piece Production,window_size,10,42,0.9846153846153847,0.7910112359550562,0.8772585669781932,704,11,186,175,55.5
Chess Piece Production,window_size,15,42,0.9769784172661871,0.7629213483146068,0.8567823343848582,679,16,211,195,56.8
Chess Piece Production,window_size,20,42,0.9855907780979827,0.7685393258426966,0.8636363636363636,684,10,206,196,58.8
Chess Piece Production,window_size,30,42,0.9788732394366197,0.7808988764044944,0.86875,695,15,195,180,66.7
CybersecIoT,window_size,5,42,0.743042968333511,0.6988567990373045,0.7202728541160662,6969,2410,3003,593,642.2
CybersecIoT,window_size,10,42,0.7755122950819672,0.7590252707581228,0.7671802148793837,7569,2191,2403,212,654.5
CybersecIoT,window_size,15,42,0.7781442860183018,0.7333533894905736,0.7550851832731028,7313,2085,2659,574,722.3
CybersecIoT,window_size,20,42,0.8079078455790785,0.7806859205776173,0.7940636474908201,7785,1851,2187,336,719.6
CybersecIoT,window_size,30,42,0.7899833402748855,0.7608303249097473,0.7751328156926849,7587,2017,2385,368,842.6
MIMIC-IV,window_size,5,42,0.8911696679332562,0.8818276559658336,0.8864740501843653,43154,5270,5783,513,2806.3
MIMIC-IV,window_size,10,42,0.8982595070720759,0.866890083168155,0.8822960536577756,42423,4805,6514,1709,3231.3
MIMIC-IV,window_size,15,42,0.8632782294300821,0.8440852524674581,0.8535738639885934,41307,6542,7630,1088,3881.6
MIMIC-IV,window_size,20,42,0.8857728422945814,0.865500541512557,0.8755193583727805,42355,5462,6582,1120,3634.5
MIMIC-IV,window_size,30,42,0.8153816761484249,0.7849071254878721,0.7998542349940133,38411,8697,10526,1829,3438.7
SmartFactory,window_size,5,42,0.8622502628811777,0.374258329529895,0.5219605346912793,820,131,1371,1240,245.6
SmartFactory,window_size,10,42,0.8341232227488151,0.40164308534915566,0.5422057917436844,880,175,1311,1136,273.0
SmartFactory,window_size,15,42,0.6933333333333334,0.3085349155636696,0.42703727100442196,676,299,1515,1216,282.7
SmartFactory,window_size,20,42,0.8935611038107752,0.31036056595162026,0.4607046070460704,680,81,1511,1430,296.5
SmartFactory,window_size,30,42,0.5938945420906568,0.29301688726608854,0.3924205378973105,642,439,1549,1110,317.5
