PES,runtime_s,mean_latency_ms,p99_latency_ms,mean_memory_mb
BPIC13-O,12,5.21,11.32,718
BPIC13-C,25,4.0,15.58,747
CottonCandy,39,3.03,49.67,700
EnvPermits,64,7.29,27.21,755
ChessPiece,76,6.95,93.25,889
Sepsis,119,7.72,71.53,784
BPIC13-I,164,2.5,5.88,916
BPIC20-PT,193,10.66,76.22,766
HelpDesk,202,9.4,43.82,801
BPIC20-R,279,7.55,48.68,854
SmartFactory,433,19.69,309.6,863
BPIC20-DD,608,10.77,40.51,866
BPIC20-ID,824,11.38,35.3,905
CybersecIoT,1074,10.74,22.94,1039
BPIC20-P,1393,16.03,45.78,921
MIMIC-IV,2420,4.94,21.51,2412
BPIC12,2541,9.69,29.2,1229
RoadFine,3628,6.46,31.16,2103
BPIC17,4434,10.88,20.58,2576
