dataset,method,mean_precision,mean_recall,mean_f1,best_precision,best_f1
MIMIC-IV,MissMend,0.868,0.868,0.868,0.913,0.913
MIMIC-IV,DFI,0.524,0.524,0.524,0.527,0.527
MIMIC-IV,MaskT,0.522,0.522,0.522,0.526,0.526
MIMIC-IV,Bi-LSTM,0.521,0.521,0.521,0.525,0.525
MIMIC-IV,RF-GBT,0.517,0.517,0.517,0.520,0.520
MIMIC-IV,Majority,0.312,0.312,0.312,0.313,0.313
MIMIC-IV,Random,0.056,0.056,0.056,0.057,0.057
BPIC13-C,MissMend,0.985,0.984,0.985,0.988,0.988
BPIC13-C,DFI,0.672,0.672,0.672,0.682,0.682
BPIC13-C,MaskT,0.669,0.669,0.669,0.686,0.686
BPIC13-C,Bi-LSTM,0.665,0.665,0.665,0.674,0.674
BPIC13-C,RF-GBT,0.652,0.652,0.652,0.677,0.677
BPIC13-C,Majority,0.624,0.624,0.624,0.634,0.634
BPIC13-C,Random,0.242,0.242,0.242,0.258,0.258
BPIC13-O,MissMend,0.984,0.980,0.982,0.996,0.996
BPIC13-O,DFI,0.692,0.692,0.692,0.698,0.698
BPIC13-O,MaskT,0.685,0.685,0.685,0.702,0.702
BPIC13-O,Bi-LSTM,0.692,0.692,0.692,0.702,0.702
BPIC13-O,RF-GBT,0.681,0.681,0.681,0.689,0.689
BPIC13-O,Majority,0.704,0.704,0.704,0.715,0.715
BPIC13-O,Random,0.340,0.340,0.340,0.387,0.387
BPIC13-I,MissMend,0.993,0.991,0.992,0.993,0.992
BPIC13-I,DFI,0.711,0.711,0.711,0.715,0.715
BPIC13-I,MaskT,0.711,0.711,0.711,0.717,0.717
BPIC13-I,Bi-LSTM,0.718,0.718,0.718,0.724,0.724
BPIC13-I,RF-GBT,0.704,0.704,0.704,0.707,0.707
BPIC13-I,Majority,0.609,0.609,0.609,0.612,0.612
BPIC13-I,Random,0.270,0.270,0.270,0.283,0.283
SmartFactory,MissMend,0.707,0.707,0.707,0.741,0.741
SmartFactory,DFI,0.340,0.340,0.340,0.355,0.355
SmartFactory,MaskT,0.344,0.344,0.344,0.357,0.357
SmartFactory,Bi-LSTM,0.399,1.000,0.570,0.417,0.589
SmartFactory,RF-GBT,0.585,0.585,0.585,0.596,0.596
SmartFactory,Majority,0.106,0.106,0.106,0.110,0.110
SmartFactory,Random,0.008,0.008,0.008,0.009,0.009
EnvPermits,MissMend,0.835,0.797,0.815,0.944,0.895
EnvPermits,DFI,0.819,0.819,0.819,0.830,0.830
EnvPermits,MaskT,0.813,0.813,0.813,0.817,0.817
EnvPermits,Bi-LSTM,0.804,0.804,0.804,0.807,0.807
EnvPermits,RF-GBT,0.846,0.846,0.846,0.852,0.852
EnvPermits,Majority,0.149,0.149,0.149,0.169,0.169
EnvPermits,Random,0.040,0.040,0.040,0.042,0.042
RoadFine,MissMend,0.860,0.785,0.820,0.958,0.939
RoadFine,DFI,0.864,0.864,0.864,0.865,0.865
RoadFine,MaskT,0.864,0.864,0.864,0.866,0.866
RoadFine,Bi-LSTM,0.863,0.863,0.863,0.864,0.864
RoadFine,RF-GBT,0.841,0.841,0.841,0.843,0.843
RoadFine,Majority,0.268,0.268,0.268,0.269,0.269
RoadFine,Random,0.091,0.091,0.091,0.093,0.093
BPIC20-P,MissMend,0.856,0.322,0.468,0.853,0.474
BPIC20-P,DFI,0.769,0.769,0.769,0.771,0.771
BPIC20-P,MaskT,0.763,0.763,0.763,0.766,0.766
BPIC20-P,Bi-LSTM,0.762,0.762,0.762,0.767,0.767
BPIC20-P,RF-GBT,0.766,0.766,0.766,0.768,0.768
BPIC20-P,Majority,0.084,0.084,0.084,0.087,0.087
BPIC20-P,Random,0.021,0.021,0.021,0.022,0.022
CottonCandy,MissMend,0.964,0.938,0.951,0.980,0.961
CottonCandy,DFI,0.941,0.941,0.941,0.945,0.945
CottonCandy,MaskT,0.888,0.888,0.888,0.897,0.897
CottonCandy,Bi-LSTM,0.892,1.000,0.943,0.902,0.948
CottonCandy,RF-GBT,0.930,0.930,0.930,0.935,0.935
CottonCandy,Majority,0.424,0.424,0.424,0.435,0.435
CottonCandy,Random,0.068,0.068,0.068,0.116,0.116
ChessPiece,MissMend,0.986,0.769,0.864,0.991,0.874
ChessPiece,DFI,0.831,0.831,0.831,0.839,0.839
ChessPiece,MaskT,0.749,0.749,0.749,0.772,0.772
ChessPiece,Bi-LSTM,0.781,1.000,0.877,0.806,0.892
ChessPiece,RF-GBT,0.910,0.910,0.910,0.918,0.918
ChessPiece,Majority,0.338,0.338,0.338,0.367,0.367
ChessPiece,Random,0.054,0.054,0.054,0.091,0.091
BPIC20-PT,MissMend,0.889,0.596,0.714,0.888,0.722
BPIC20-PT,DFI,0.804,0.804,0.804,0.809,0.809
BPIC20-PT,MaskT,0.793,0.793,0.793,0.797,0.797
BPIC20-PT,Bi-LSTM,0.801,0.801,0.801,0.805,0.805
BPIC20-PT,RF-GBT,0.832,0.832,0.832,0.838,0.838
