dataset,injection_rate,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Sepsis,0.05,42,0.7195767195767195,0.5368421052631579,0.6149208741522232,408,159,352,193,89.9
Sepsis,0.05,123,0.6624405705229794,0.55,0.6010064701653487,418,213,342,129,79.4
Sepsis,0.05,2025,0.6733001658374793,0.5342105263157895,0.5957446808510638,406,197,354,157,82.4
Sepsis,0.1,42,0.6674897119341564,0.5332018408941486,0.5928362573099416,811,404,710,306,81.5
Sepsis,0.1,123,0.6556982343499197,0.537146614069691,0.59053126129382,817,429,704,275,74.3
Sepsis,0.1,2025,0.6808703535811423,0.4937541091387245,0.5724085365853657,751,352,770,418,84.8
Sepsis,0.15,42,0.6571268237934904,0.5131463628396143,0.5762795275590551,1171,611,1111,500,83.5
Sepsis,0.15,123,0.7186684073107049,0.4824715162138475,0.5773466177241741,1101,431,1181,750,87.3
Sepsis,0.15,2025,0.6742331288343558,0.4815950920245399,0.5618609406952966,1099,531,1183,652,84.2
Sepsis,0.2,42,0.6592920353982301,0.4898093359631821,0.5620520558279894,1490,770,1552,782,72.5
Sepsis,0.2,123,0.689584402257568,0.4418145956607495,0.538569424964937,1344,605,1698,1093,84.4
Sepsis,0.2,2025,0.6814075130765573,0.4710716633793557,0.5570456754130224,1433,670,1609,939,78.9
Sepsis,0.25,42,0.6699346405228758,0.4851433079148041,0.5627573585481165,1845,909,1958,1049,61.2
Sepsis,0.25,123,0.7370649106302917,0.4120431238495924,0.528588294822061,1567,559,2236,1677,85.1
Sepsis,0.25,2025,0.6875,0.471469892190376,0.5593511152706285,1793,815,2010,1195,71.3
Sepsis,0.3,42,0.661027376191941,0.4708588957055215,0.5499680102367243,2149,1102,2415,1313,60.9
Sepsis,0.3,123,0.6985107155830004,0.4213409290096406,0.5256252562525625,1923,830,2641,1811,71.9
Sepsis,0.3,2025,0.6834995175297524,0.4656003505696757,0.5538902645640558,2125,984,2439,1455,67.1
Cotton Candy Production,0.05,42,0.9789103690685412,0.9408783783783784,0.9595176571920758,557,12,35,23,66.7
Cotton Candy Production,0.05,123,0.9269949066213922,0.9222972972972971,0.924640135478408,546,43,46,3,66.4
Cotton Candy Production,0.05,2025,0.948542024013722,0.9341216216216216,0.9412765957446808,553,30,39,9,66.5
Cotton Candy Production,0.1,42,0.9842931937172776,0.9527027027027029,0.9682403433476394,1128,18,56,38,65.1
Cotton Candy Production,0.1,123,0.9786286731967944,0.9282094594594594,0.952752492414391,1099,24,85,61,60.8
Cotton Candy Production,0.1,2025,0.9824098504837292,0.9434121621621622,0.9625161568289532,1117,20,67,47,61.7
Cotton Candy Production,0.15,42,0.9813845258871436,0.9493528418683174,0.9651029748283754,1687,32,90,58,65.8
Cotton Candy Production,0.15,123,0.9751479289940828,0.927405740011255,0.9506778194404384,1648,42,129,87,55.7
Cotton Candy Production,0.15,2025,0.9718475073313784,0.9324704558244232,0.951751866743251,1657,48,120,72,78.8
Cotton Candy Production,0.2,42,0.9784710017574691,0.9400590966652596,0.9588805166846072,2227,49,142,93,72.7
Cotton Candy Production,0.2,123,0.98,0.9307724778387504,0.9547521108465036,2205,45,164,119,70.4
Cotton Candy Production,0.2,2025,0.9676025917926566,0.9455466441536512,0.9564474807856532,2240,75,129,54,84.2
Cotton Candy Production,0.25,42,0.965088143795368,0.9426063470627954,0.9537147736976942,2792,101,170,69,97.2
Cotton Candy Production,0.25,123,0.9355165428764348,0.9355165428764348,0.9355165428764348,2771,191,191,0,144.5
Cotton Candy Production,0.25,2025,0.8979238754325259,0.8760972316002701,0.8868762816131237,2595,295,367,72,471.3
Cotton Candy Production,0.3,42,0.9744853580748044,0.945694991558807,0.9598743395687565,3361,88,193,105,286.7
Cotton Candy Production,0.3,123,0.9490608992601024,0.938379290939786,0.94368986983588,3335,179,219,40,408.0
Cotton Candy Production,0.3,2025,0.9578434184112418,0.939786156443444,0.9487288737395256,3340,147,214,67,193.3
Chess Piece Production,0.05,42,1.0,0.8157303370786517,0.8985148514851485,363,0,82,82,288.9
Chess Piece Production,0.05,123,0.9828571428571428,0.7730337078651686,0.8654088050314466,344,6,101,95,525.2
Chess Piece Production,0.05,2025,0.9915730337078652,0.7932584269662921,0.8813982521847691,353,3,92,89,315.1
Chess Piece Production,0.1,42,0.9825072886297376,0.7573033707865169,0.8553299492385787,674,12,216,204,546.4
Chess Piece Production,0.1,123,0.9735376044568244,0.7853932584269663,0.8694029850746268,699,19,191,172,290.7
Chess Piece Production,0.1,2025,0.987012987012987,0.7685393258426966,0.8641819330385343,684,9,206,197,105.7
Chess Piece Production,0.15,42,0.9872922776148584,0.7559880239520959,0.8562950402713014,1010,13,326,313,70.5
Chess Piece Production,0.15,123,0.9893617021276596,0.7657185628742516,0.8632911392405064,1023,11,313,302,73.5
Chess Piece Production,0.15,2025,0.9881656804733728,0.75,0.8527659574468086,1002,12,334,322,69.3
Chess Piece Production,0.2,42,0.9884892086330936,0.7714766984839978,0.8666035950804162,1374,16,407,391,72.0
Chess Piece Production,0.2,123,0.986496624156039,0.7383492419988771,0.844572896596018,1315,18,466,448,68.8
Chess Piece Production,0.2,2025,0.9844444444444445,0.7462099943851769,0.8489300542957521,1329,21,452,431,71.0
Chess Piece Production,0.25,42,0.9884848484848484,0.7323753929052537,0.841372194996131,1631,19,596,577,69.1
